SettlementPoint,Year,HourlyVolatility
HB_BUSAVG,2016,0.1857728659720291
HB_HOUSTON,2016,0.19109873836659222
HB_HUBAVG,2016,0.1879565397121566
HB_NORTH,2016,0.1841805116762344
HB_SOUTH,2016,0.20902615565426777
HB_WEST,2016,0.20884898330524115
HB_BUSAVG,2017,0.15408526659786884
HB_HOUSTON,2017,0.17046936122567516
HB_HUBAVG,2017,0.15867965325640565
HB_NORTH,2017,0.15256846554350484
HB_SOUTH,2017,0.15613767316135882
HB_WEST,2017,0.24761455968272927
HB_BUSAVG,2018,0.2002577596417815
HB_HOUSTON,2018,0.20024629511535275
HB_HUBAVG,2018,0.20212435048463376
HB_NORTH,2018,0.2001619345523286
HB_SOUTH,2018,0.19868899786439562
HB_WEST,2018,0.30250430744478846
HB_BUSAVG,2019,0.2493635971484166
HB_HOUSTON,2019,0.24793192634138433
HB_HUBAVG,2019,0.25063370027349796
HB_NORTH,2019,0.24960422691912904
HB_PAN,2019,0.6316345305022137
HB_SOUTH,2019,0.24896613467967427
HB_WEST,2019,0.3365881022401165
